,Latitude,Longitude,CategoryID,Predicted
184,52.42838,104.10507,4,0
185,52.267842,87.089629,5,0
186,52.133333,55.6,4,1
187,52.133333,55.6,4,1
188,52.0959918014,93.7112290846,5,0
189,52.0959918014,93.7112290846,5,1
190,52.08932,1.33842,1,0
191,52.032168,-1.940915,1,0
192,52.00328,54.304235,4,0
193,52.0,-2.0,1,0
194,52.0,117.0,6,1
195,52.0,117.0,5,0
196,51.986,-2.136,1,0
197,51.95,85.966667,5,1
198,51.9,55.44,4,1
199,51.9,37.9,4,1
200,51.837282,5.893504,1,0
201,51.8027156667,32.0136165333,4,0
202,51.8027156667,32.0136165333,4,0
203,51.783876,85.74414,5,0
204,51.783333,94.75,5,0
205,51.783333,94.75,5,0
206,51.783333,94.75,5,0
207,51.783333,46.733333,4,0
208,51.783333,46.733333,4,1
209,51.7520276421,-0.358468171293,1,0
210,51.7520276421,-0.358468171293,1,0
211,51.75,36.016667,4,0
212,51.7430001,-1.419829,1,0
213,51.6057417075,5.7955395575,1,0
214,51.512342,-0.091604,1,0
215,51.510235,-0.088315,1,0
216,51.5,58.5,4,1
217,51.5,95.0,5,1
218,51.5,95.0,5,0
219,51.5,58.5,4,0
220,51.4279192,-1.8531245,1,0
221,51.420833,45.9625,4,1
222,51.418234,30.656879,4,0
223,51.4,32.85,4,0
224,51.336381,86.015687,5,1
225,51.05,40.15,4,0
226,51.05,40.15,4,1
227,51.035534,38.787733,4,0
228,51.0,57.0,4,0
229,51.0,56.0,4,0
230,51.0,55.5,4,0
231,51.0,55.0,4,0
232,51.0,35.0,4,0
233,50.918118,54.516495,4,1
234,50.905517,82.156215,5,1
235,50.75,58.5,4,0
236,50.75,58.0,4,0
237,50.75,137.75,6,0
238,50.676371,85.799259,5,0
239,50.626011,6.783363,1,0
240,50.5995,14.9816,1,0
241,50.5,58.5,4,0
242,50.5,59.5,5,0
243,50.5,59.5,4,0
244,50.5,59.0,4,0
245,50.5,59.0,4,0
246,50.5,59.0,4,0
247,50.5,59.0,4,0
248,50.5,58.75,4,0
249,50.5,58.5,5,0
250,50.5,58.5,4,0
251,50.5,58.5,4,0
252,50.5,58.5,4,0
253,50.5,58.5,4,0
254,50.5,58.5,4,0
255,50.5,58.5,4,0
256,50.5,58.5,7,0
257,50.5,58.5,4,1
258,50.5,58.5,4,0
259,50.5,58.5,6,0
260,50.5,58.5,4,0
261,50.5,58.5,4,0
262,50.5,58.5,4,1
263,50.5,58.5,4,0
264,50.5,58.5,4,0
265,50.5,58.5,4,0
266,50.5,58.25,4,0
267,50.5,58.0,5,0
268,50.5,58.0,5,0
269,50.45,30.523333,4,1
270,50.45,30.516667,4,0
271,50.435641,30.557704,4,0
272,50.38,33.33,4,1
273,50.2977855,3.792415,1,0
274,50.25,58.5,4,0
275,50.164804,34.712236,4,1
276,50.138232,54.092816,5,0
277,50.0836435257,34.667489697,4,0
278,50.0609553448,30.0758701268,4,0
279,50.0,35.0,4,0
280,50.0,35.0,4,0
281,50.0,30.0,4,1
282,50.0,9.0,1,0
283,50.0,59.0,4,0
284,50.0,58.5,7,0
285,50.0,58.5,4,0
286,50.0,58.0,7,0
287,50.0,51.0,4,0
288,50.0,50.0,4,0
289,50.0,50.0,7,0
290,50.0,50.0,7,0
291,50.0,50.0,7,0
292,50.0,50.0,4,1
293,50.0,35.0,4,0
294,50.0,35.0,4,0
295,50.0,35.0,4,0
296,50.0,35.0,4,0
297,50.0,35.0,4,1
298,50.0,35.0,4,0
299,50.0,35.0,4,0
300,50.0,35.0,4,0
301,50.0,32.5,4,0
302,50.0,32.0,4,0
303,50.0,30.0,4,1
304,50.0,11.5,1,0
305,50.0,11.0,7,0
306,50.0,11.0,1,0
307,50.0,11.0,1,0
308,50.0,11.0,4,0
309,50.0,11.0,1,0
310,50.0,11.0,1,0
311,50.0,11.0,4,0
312,50.0,10.0,1,0
313,5.423383,113.936683,6,0
314,49.9814984,31.3531496,4,0
315,49.9667939485,35.903375309,4,0
316,49.953871,36.106675,4,0
317,49.91,27.13,4,0
318,49.872428,36.281039,4,1
319,49.868647,40.770689,4,0
320,49.754979,6.6449885,1,0
321,49.754979,6.6449885,1,0
322,49.751944,6.626667,1,0
323,49.75,35.0,4,0
324,49.636389,31.636111,4,0
325,49.633333,100.166667,5,0
326,49.601494,34.313245,4,0
327,49.508005,41.542513,5,0
328,49.5,4.666667,1,0
329,49.5,44.0,4,0
330,49.5,43.5,4,0
331,49.5,43.0,4,0
332,49.5,35.0,4,0
333,49.5,35.0,4,0
334,49.5,32.0,4,0
335,49.33245,38.004816,4,1
336,49.25,43.25,4,0
337,49.25,43.0,4,0
338,49.25,43.0,4,0
339,49.173333,0.621389,1,0
340,49.155224,32.248284,4,0
341,49.1,44.2,4,1
342,49.1,32.1,4,1
343,49.083333,20.5,1,0
344,49.065278,32.803611,4,0
345,49.0,44.0,4,1
346,49.0,44.0,4,1
347,49.0,35.0,4,0
348,49.0,32.0,4,1
349,49.0,32.0,4,1
350,49.0,89.0,5,0
351,49.0,89.0,5,0
352,49.0,89.0,5,0
353,49.0,44.0,4,0
354,49.0,44.0,4,0
355,49.0,44.0,4,0
356,49.0,44.0,4,0
357,49.0,44.0,4,1
358,49.0,44.0,5,0
359,49.0,43.5,4,0
360,49.0,43.5,4,0
361,49.0,43.5,4,1
362,49.0,43.5,4,0
363,49.0,43.5,4,0
364,49.0,43.5,4,0
365,49.0,43.5,4,0
366,49.0,43.5,4,0
367,49.0,43.25,4,0
368,49.0,43.25,4,0
369,49.0,43.25,4,0
370,49.0,43.25,4,0
371,49.0,43.25,4,0
372,49.0,43.25,7,0
373,49.0,43.0,4,0
374,49.0,43.0,4,0
375,49.0,43.0,4,1
376,49.0,43.0,4,1
377,49.0,43.0,4,0
378,49.0,43.0,4,0
379,49.0,43.0,4,0
380,49.0,43.0,4,0
381,49.0,43.0,4,0
382,49.0,43.0,4,0
383,49.0,43.0,4,0
384,49.0,43.0,4,0
385,49.0,43.0,4,0
386,49.0,43.0,4,0
387,49.0,43.0,4,0
388,49.0,43.0,4,0
389,49.0,43.0,4,1
